"run"	"study"	"experiment"	"cell"	"other"	"replicate"	"treament"	"sample_acc"	"title"	"sample_attribute"	"spots"	"platform"	"layout"	"strategy"	"SRA"	"phred"	"strand"
"SRR21010133"	"GSE210989"	"SRX17026640"	"MRC5"	NA	1	"Parental"	"SRS14611532"	"GSM6443800: Mock_1_48hpi_R1; Homo sapiens; RNA-Seq"	" || source_name: Human Lung Fibroblasts || cell line: MRC5 || cell type: Fibroblasts || infection: Mock || time point: 48 hpi"	"22.89M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1473312"	"--phred33"	"--rna-strandness R"
"SRR12006109"	"GSE152410"	"SRX8539285"	"MCF10A"	"PBS"	1	"Control"	"SRS6834102"	"GSM4614840: ctrl_0_C1_A_RNAseq; Homo sapiens; RNA-Seq"	" || source_name: breast epilthelial cells || cell type: normal breast epithelium || cell line: MCF10A || treatment: PBS || treatment concentration: 0 ng/ml || timepoint: 0 h"	"57.58M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1086711"	"--phred33"	"--rna-strandness R"
"SRR12006110"	"GSE152410"	"SRX8539286"	"MCF10A"	"PBS"	2	"Control"	"SRS6834103"	"GSM4614841: ctrl_0_C1_B_RNAseq; Homo sapiens; RNA-Seq"	" || source_name: breast epilthelial cells || cell type: normal breast epithelium || cell line: MCF10A || treatment: PBS || treatment concentration: 0 ng/ml || timepoint: 0 h"	"58.89M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1086711"	"--phred33"	"--rna-strandness R"
"SRR12006111"	"GSE152410"	"SRX8539287"	"MCF10A"	"PBS"	3	"Control"	"SRS6834104"	"GSM4614842: ctrl_0_C1_C_RNAseq; Homo sapiens; RNA-Seq"	" || source_name: breast epilthelial cells || cell type: normal breast epithelium || cell line: MCF10A || treatment: PBS || treatment concentration: 0 ng/ml || timepoint: 0 h"	"62.49M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1086711"	"--phred33"	"--rna-strandness R"
"SRR12006112"	"GSE152410"	"SRX8539288"	"MCF10A"	"PBS"	4	"Control"	"SRS6834105"	"GSM4614843: ctrl_0_C1_D_RNAseq; Homo sapiens; RNA-Seq"	" || source_name: breast epilthelial cells || cell type: normal breast epithelium || cell line: MCF10A || treatment: PBS || treatment concentration: 0 ng/ml || timepoint: 0 h"	"64.19M"	"Illumina HiSeq 2500"	"S"	"RNA-Seq"	"SRA1086711"	"--phred33"	"--rna-strandness R"
"SRR7969290"	"GSE120890"	"SRX4802679"	"MRC5"	"Maciej"	1	"Parental"	"SRS3881627"	"GSM3417892: mock infected fibroblast Mock_1; Homo sapiens; RNA-Seq"	" || source_name: human lung fibroblasts || cell type: MRC5 || passage: 10-15 || virus strain: mock || virus accession number: N/A || hours post infection/collection time: 48"	"23.01M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA789673"	"--phred33"	"--rna-strandness RF"
"SRR7969291"	"GSE120890"	"SRX4802680"	"MRC5"	"Maciej"	2	"Parental"	"SRS3881628"	"GSM3417893: mock infected fibroblast Mock_2; Homo sapiens; RNA-Seq"	" || source_name: human lung fibroblasts || cell type: MRC5 || passage: 10-15 || virus strain: mock || virus accession number: N/A || hours post infection/collection time: 48"	"24.38M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA789673"	"--phred33"	"--rna-strandness RF"
"SRR7969292"	"GSE120890"	"SRX4802681"	"MRC5"	"Maciej"	3	"Parental"	"SRS3881629"	"GSM3417894: mock infected fibroblast Mock_3; Homo sapiens; RNA-Seq"	" || source_name: human lung fibroblasts || cell type: MRC5 || passage: 10-15 || virus strain: mock || virus accession number: N/A || hours post infection/collection time: 48"	"26.14M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA789673"	"--phred33"	"--rna-strandness RF"
"SRR3533003"	"GSE81493"	"SRX1767584"	"RWPE-1"	NA	1	"Vector"	"SRS1440275"	"GSM2154810: RWPE1 empty vector replicate 1; Homo sapiens; RNA-Seq"	" || source_name: RWPE1 empty vector || cell line: RWPE1 || cell type: human prostatic epithelial cell line || genotype/variation: expressing empty vector"	"33.85M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA426357"	"--phred33"	"unstranded"
"SRR3533004"	"GSE81493"	"SRX1767585"	"RWPE-1"	NA	2	"Vector"	"SRS1440276"	"GSM2154811: RWPE1 empty vector replicate 2; Homo sapiens; RNA-Seq"	" || source_name: RWPE1 empty vector || cell line: RWPE1 || cell type: human prostatic epithelial cell line || genotype/variation: expressing empty vector"	"25.43M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA426357"	"--phred33"	"unstranded"
"SRR3533005"	"GSE81493"	"SRX1767586"	"RWPE-1"	NA	3	"Vector"	"SRS1440278"	"GSM2154812: RWPE1 empty vector replicate 3; Homo sapiens; RNA-Seq"	" || source_name: RWPE1 empty vector || cell line: RWPE1 || cell type: human prostatic epithelial cell line || genotype/variation: expressing empty vector"	"28.95M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA426357"	"--phred33"	"unstranded"
"SRR5448889"	"GSE97829"	"SRX2737721"	"MRC5"	NA	1	"Parental"	"SRS2124965"	"GSM2579109: MRC5 Control Replicate 1 [RNA-seq]; Homo sapiens; RNA-Seq"	" || source_name: MRC5 human lung fibroblasts, control || strain: C57BL/6 || age: 9 - 12 wks || cell line: MRC5 || cell type: pulmonary fibroblast cell line || treatment: none || rin number: 10"	"63.59M"	"NextSeq 500"	"P"	"RNA-Seq"	"SRA554322"	"--phred33"	"--rna-strandness RF"
"SRR5448890"	"GSE97829"	"SRX2737722"	"MRC5"	NA	2	"Parental"	"SRS2124968"	"GSM2579110: MRC5 Control Replicate 2 [RNA-seq]; Homo sapiens; RNA-Seq"	" || source_name: MRC5 human lung fibroblasts, control || strain: C57BL/6 || age: 9 - 12 wks || cell line: MRC5 || cell type: pulmonary fibroblast cell line || treatment: none || rin number: 10"	"57.39M"	"NextSeq 500"	"P"	"RNA-Seq"	"SRA554322"	"--phred33"	"--rna-strandness RF"
"SRR5448891"	"GSE97829"	"SRX2737723"	"MRC5"	NA	3	"Parental"	"SRS2124967"	"GSM2579111: MRC5 Control Replicate 3 [RNA-seq]; Homo sapiens; RNA-Seq"	" || source_name: MRC5 human lung fibroblasts, control || strain: C57BL/6 || age: 9 - 12 wks || cell line: MRC5 || cell type: pulmonary fibroblast cell line || treatment: none || rin number: 10"	"69.77M"	"NextSeq 500"	"P"	"RNA-Seq"	"SRA554322"	"--phred33"	"--rna-strandness RF"
"SRR19033104"	"GSE202017"	"SRX15104673"	"ARPE-19"	NA	3	"shControl"	"SRS12849913"	"GSM6086754: RNA-seq_ARPE-19 cells, sh-Control,rep3; Homo sapiens; RNA-Seq"	" || source_name: Retinal pigment epithelium || cell line: ARPE-19 || cell type: Retinal pigment epithelium cells || genotype: Scramble || treatment: LPS stimulated for 24h"	"32.88M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1413463"	"--phred33"	"unstranded"
"SRR19033105"	"GSE202017"	"SRX15104672"	"ARPE-19"	NA	2	"shControl"	"SRS12849912"	"GSM6086753: RNA-seq_ARPE-19 cells, sh-Control,rep2; Homo sapiens; RNA-Seq"	" || source_name: Retinal pigment epithelium || cell line: ARPE-19 || cell type: Retinal pigment epithelium cells || genotype: Scramble || treatment: LPS stimulated for 24h"	"31.86M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1413463"	"--phred33"	"unstranded"
"SRR19033106"	"GSE202017"	"SRX15104671"	"ARPE-19"	NA	1	"shControl"	"SRS12849911"	"GSM6086752: RNA-seq_ARPE-19 cells, sh-Control,rep1; Homo sapiens; RNA-Seq"	" || source_name: Retinal pigment epithelium || cell line: ARPE-19 || cell type: Retinal pigment epithelium cells || genotype: Scramble || treatment: LPS stimulated for 24h"	"37.87M"	"Illumina HiSeq 2000"	"P"	"RNA-Seq"	"SRA1413463"	"--phred33"	"unstranded"
"SRR8032314"	"GSE121137"	"SRX4864917"	"ARPE-19"	NA	1	"Control"	"SRS3924214"	"GSM3426716: ARPE19_Control_1_RNA; Homo sapiens; RNA-Seq"	" || source_name: Retinal Pigment Epithelial Cells || cell type: ARPE-19 Cells || treatment: Control"	"40.01M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA793235"	"--phred33"	"--rna-strandness FR"
"SRR8032315"	"GSE121137"	"SRX4864918"	"ARPE-19"	NA	2	"Control"	"SRS3924213"	"GSM3426717: ARPE19_Control_2_RNA; Homo sapiens; RNA-Seq"	" || source_name: Retinal Pigment Epithelial Cells || cell type: ARPE-19 Cells || treatment: Control"	"36.64M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA793235"	"--phred33"	"--rna-strandness FR"
"SRR8032316___SRR8032317"	"GSE121137"	"SRX4864919"	"ARPE-19"	NA	3	"Control"	"SRS3924212"	"GSM3426718: ARPE19_Control_3_RNA; Homo sapiens; RNA-Seq"	" || source_name: Retinal Pigment Epithelial Cells || cell type: ARPE-19 Cells || treatment: Control"	"52.11M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA793235"	"--phred33"	"--rna-strandness FR"
"SRR8354418"	"GSE124118"	"SRX5165262"	"MRC5"	NA	1	"Parental"	"SRS4174334"	"GSM3521166: H211; Homo sapiens; RNA-Seq"	" || source_name: lung || cell line: MRC-5 (ATCC, CCL-171) || hiv-1 infection: mock || tissue: lung"	"41.2M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA825000"	"--phred33"	"--rna-strandness R"
"SRR8354419"	"GSE124118"	"SRX5165263"	"MRC5"	NA	2	"Parental"	"SRS4174335"	"GSM3521167: H212; Homo sapiens; RNA-Seq"	" || source_name: lung || cell line: MRC-5 (ATCC, CCL-171) || hiv-1 infection: mock || tissue: lung"	"51.85M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA825000"	"--phred33"	"--rna-strandness R"
"SRR8354420"	"GSE124118"	"SRX5165264"	"MRC5"	NA	3	"Parental"	"SRS4174336"	"GSM3521168: H213; Homo sapiens; RNA-Seq"	" || source_name: lung || cell line: MRC-5 (ATCC, CCL-171) || hiv-1 infection: mock || tissue: lung"	"33.94M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA825000"	"--phred33"	"--rna-strandness R"
"SRR10766046"	"GSE142591"	"SRX7439964"	"ARPE-19"	NA	1	"Parental"	"SRS5884474"	"GSM4232567: Con 1 [s1]; Homo sapiens; RNA-Seq"	" || source_name: Human ARPE-19 cells || cell line: ARPE-19 || cell type: Retinal pigment epithelial (RPE) cells || passages: 6-10' || treatment: none (control)"	"18.67M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1016503"	"--phred33"	"--rna-strandness RF"
"SRR10766047"	"GSE142591"	"SRX7439965"	"ARPE-19"	NA	2	"Parental"	"SRS5884475"	"GSM4232568: Con 2 [s2]; Homo sapiens; RNA-Seq"	" || source_name: Human ARPE-19 cells || cell line: ARPE-19 || cell type: Retinal pigment epithelial (RPE) cells || passages: 6-10' || treatment: none (control)"	"21.27M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1016503"	"--phred33"	"--rna-strandness RF"
"SRR10766048"	"GSE142591"	"SRX7439966"	"ARPE-19"	NA	3	"Parental"	"SRS5884476"	"GSM4232569: Con 3 [s3]; Homo sapiens; RNA-Seq"	" || source_name: Human ARPE-19 cells || cell line: ARPE-19 || cell type: Retinal pigment epithelial (RPE) cells || passages: 6-10' || treatment: none (control)"	"21.5M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1016503"	"--phred33"	"--rna-strandness RF"
"SRR4427911"	"GSE88848"	"SRX2249434"	"ARPE-19"	"4d"	1	"Parental"	"SRS1749415"	"GSM2350066: 4 day, rep1; Homo sapiens; RNA-Seq"	" || source_name: ARPE-19 cells, 4 days || cell line: ARPE-19 || cell type: retinal pigment epithelial (RPE) cell line || duration of culture: 4 days"	"96.79M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA485452"	"--phred33"	"--rna-strandness RF"
"SRR4427912"	"GSE88848"	"SRX2249435"	"ARPE-19"	"4d"	2	"Parental"	"SRS1749416"	"GSM2350067: 4 day, rep2; Homo sapiens; RNA-Seq"	" || source_name: ARPE-19 cells, 4 days || cell line: ARPE-19 || cell type: retinal pigment epithelial (RPE) cell line || duration of culture: 4 days"	"94.83M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA485452"	"--phred33"	"--rna-strandness RF"
"SRR4427913"	"GSE88848"	"SRX2249436"	"ARPE-19"	"4d"	3	"Parental"	"SRS1749417"	"GSM2350068: 4 day, rep3; Homo sapiens; RNA-Seq"	" || source_name: ARPE-19 cells, 4 days || cell line: ARPE-19 || cell type: retinal pigment epithelial (RPE) cell line || duration of culture: 4 days"	"86.07M"	"Illumina HiSeq 2500"	"P"	"RNA-Seq"	"SRA485452"	"--phred33"	"--rna-strandness RF"
"SRR9114344"	"GSE131701"	"SRX5888602"	"MCF10A"	NA	1	"sgControl"	"SRS4810759"	"GSM3814228: 10a-control_rep1; Homo sapiens; RNA-Seq"	" || source_name: mammary gland; breast epithelial || cell line: MCF10A || cell type: non-tumorigenic epithelial cell line || genotype/variation: non-targeted control sgRNA || passages: P6-P10"	"22.49M"	"BGISEQ-500"	"P"	"RNA-Seq"	"SRA889904"	"--phred33"	"unstranded"
"SRR9114345"	"GSE131701"	"SRX5888603"	"MCF10A"	NA	2	"sgControl"	"SRS4810760"	"GSM3814229: 10a-control_rep2; Homo sapiens; RNA-Seq"	" || source_name: mammary gland; breast epithelial || cell line: MCF10A || cell type: non-tumorigenic epithelial cell line || genotype/variation: non-targeted control sgRNA || passages: P6-P10"	"22.75M"	"BGISEQ-500"	"P"	"RNA-Seq"	"SRA889904"	"--phred33"	"unstranded"
"SRR7988022"	"GSE121022"	"SRX4819712"	"RWPE-1"	NA	1	"Parental"	"SRS3894250"	"GSM3424013: RWPE-1_rep1; Homo sapiens; RNA-Seq"	" || source_name: RWPE-1 (ATCC number:CRL-11609) || cell line: RWPE-1 || replicate: 1 || cell type: Epithelial cells derived from the peripheral zone of a histologically normal adult human prostate"	"1.23M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA791070"	"--phred33"	"--rna-strandness R"
"SRR7988024"	"GSE121022"	"SRX4819713"	"RWPE-1"	NA	2	"Parental"	"SRS3894251"	"GSM3424014: RWPE-1_rep2; Homo sapiens; RNA-Seq"	" || source_name: RWPE-1 (ATCC number:CRL-11609) || cell line: RWPE-1 || replicate: 2 || cell type: Epithelial cells derived from the peripheral zone of a histologically normal adult human prostate"	"43.78M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA791070"	"--phred33"	"--rna-strandness R"
"SRR7988026"	"GSE121022"	"SRX4819714"	"RWPE-1"	NA	3	"Parental"	"SRS3894252"	"GSM3424015: RWPE-1_rep3; Homo sapiens; RNA-Seq"	" || source_name: RWPE-1 (ATCC number:CRL-11609) || cell line: RWPE-1 || replicate: 3 || cell type: Epithelial cells derived from the peripheral zone of a histologically normal adult human prostate"	"117.6M"	"NextSeq 500"	"S"	"RNA-Seq"	"SRA791070"	"--phred33"	"--rna-strandness R"
"SRR16993449"	"GSE189274"	"SRX13183704"	"MCF10A"	NA	1	"Vector"	"SRS11112928"	"GSM5696948: MCF10A - EV - R1; Homo sapiens; RNA-Seq"	" || source_name: MCF10A || cell line: MCF10A spontaneously immortalized human breast epithelial cell line || stable infection: pLVX-Puro || condition: Control"	"36.74M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1332496"	"--phred33"	"--rna-strandness RF"
"SRR16993450"	"GSE189274"	"SRX13183705"	"MCF10A"	NA	2	"Vector"	"SRS11112929"	"GSM5696949: MCF10A - EV - R2; Homo sapiens; RNA-Seq"	" || source_name: MCF10A || cell line: MCF10A spontaneously immortalized human breast epithelial cell line || stable infection: pLVX-Puro || condition: Control"	"24.78M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1332496"	"--phred33"	"--rna-strandness RF"
"SRR12795670"	"GSE159235"	"SRX9264736"	"ARPE-19"	"Maciej"	1	"Parental"	"SRS7494313"	"GSM4824185: Mock_1; Homo sapiens; RNA-Seq"	" || source_name: mock infected epithelial cells || cell type: human retinal pigment epithelial cells || cell line: ARPE-19 || passage: 24-30 || treatment: mock || virus accession number: N/A"	"28.33M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1140353"	"--phred33"	"--rna-strandness RF"
"SRR12795671"	"GSE159235"	"SRX9264737"	"ARPE-19"	"Maciej"	2	"Parental"	"SRS7494314"	"GSM4824186: Mock_2; Homo sapiens; RNA-Seq"	" || source_name: mock infected epithelial cells || cell type: human retinal pigment epithelial cells || cell line: ARPE-19 || passage: 24-30 || treatment: mock || virus accession number: N/A"	"19.75M"	"Illumina NovaSeq 6000"	"P"	"RNA-Seq"	"SRA1140353"	"--phred33"	"--rna-strandness RF"
"SRR8446409"	"GSE118629"	"SRX5253451"	"RWPE-1"	NA	1	"Parental"	"SRS4255131"	"GSM3564278: RNA-seq in RWPE1 rep1; Homo sapiens; RNA-Seq"	" || source_name: RNA-seq in RWPE1 || cell line: RWPE1 || cell type: Human normal prostate cell line"	"28.01M"	"Illumina HiSeq 3000"	"S"	"RNA-Seq"	"SRA759758"	"--phred33"	"--rna-strandness R"
"SRR8446410"	"GSE118629"	"SRX5253452"	"RWPE-1"	NA	2	"Parental"	"SRS4255132"	"GSM3564279: RNA-seq in RWPE1 rep2; Homo sapiens; RNA-Seq"	" || source_name: RNA-seq in RWPE1 || cell line: RWPE1 || cell type: Human normal prostate cell line"	"31.13M"	"Illumina HiSeq 3000"	"S"	"RNA-Seq"	"SRA759758"	"--phred33"	"--rna-strandness R"
"SRR8446411"	"GSE118629"	"SRX5253453"	"RWPE-1"	NA	3	"Parental"	"SRS4255133"	"GSM3564280: RNA-seq in RWPE1 rep3; Homo sapiens; RNA-Seq"	" || source_name: RNA-seq in RWPE1 || cell line: RWPE1 || cell type: Human normal prostate cell line"	"28.99M"	"Illumina HiSeq 3000"	"S"	"RNA-Seq"	"SRA759758"	"--phred33"	"--rna-strandness R"
"SRR14685254"	"GSE175787"	"SRX11023595"	"MCF10A"	NA	1	"Parental"	"SRS9095529"	"GSM5348030: MCF10A wild type replicate 1; Homo sapiens; RNA-Seq"	" || source_name: cell line || cell line: MCF10A || genotype: wild-type"	"82.66M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1238531"	"--phred33"	"--rna-strandness RF"
"SRR14685255"	"GSE175787"	"SRX11023596"	"MCF10A"	NA	2	"Parental"	"SRS9095528"	"GSM5348031: MCF10A wild type replicate 2; Homo sapiens; RNA-Seq"	" || source_name: cell line || cell line: MCF10A || genotype: wild-type"	"70.93M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1238531"	"--phred33"	"--rna-strandness RF"
"SRR14685256"	"GSE175787"	"SRX11023597"	"MCF10A"	NA	3	"Parental"	"SRS9095532"	"GSM5348032: MCF10A wild type replicate 3; Homo sapiens; RNA-Seq"	" || source_name: cell line || cell line: MCF10A || genotype: wild-type"	"71.24M"	"Illumina HiSeq 4000"	"P"	"RNA-Seq"	"SRA1238531"	"--phred33"	"--rna-strandness RF"
